org.argouml.model.XmiWriter	  xmi writer xmi writer set xmi extension writer write  
org.argouml.model.mdr.UndoExtensionMechanismsHelperDecorator	  undo extension mechanisms helper decorator undo extension mechanisms helper decorator  
org.argouml.uml.ui.ActionLayout	  action layout action layout   enabled action performed  
org.argouml.ui.ProjectSettingsTabProperties	  project settings tab properties project settings tab properties set project get tab key get tab panel handle reset    default handle settings tab save handle settings tab cancel handle settings tab refresh p user fullname user email description    assertions disabled  
org.argouml.gefext.ArgoFigRRect	  argo figure r rectangle argo figure r rectangle delete from model remove notification listener remove notification listener add notification listener get notification information notifier  
org.argouml.ui.explorer.rules.GoProjectToProfileConfiguration	  go project    profile configuration go project    profile configuration get dependencies get rule name get children  
org.argouml.uml.cognitive.critics.CrInvalidJoin	  critic invalid join critic invalid join get criticized design materials predicate   
org.argouml.gefext.ArgoModeCreateFigCircle	  argo mode create figure circle argo mode create figure circle instructions create new item  
org.argouml.uml.cognitive.critics.CrNodeInstanceWithoutClassifier	  critic node instance without classifier critic node instance without classifier compute offenders still valid    do item predicate   
org.argouml.moduleloader.SettingsTabModules	  settings tab modules settings tab modules             get tab key get tab panel handle reset    default handle settings tab save handle settings tab cancel handle settings tab refresh table field all ext dirs column names elements     uid  
org.argouml.ui.TabToDoTarget	  tab    do target tab    do target set target  
org.argouml.application.events.ArgoHelpEventListener	  argo help event listener argo help event listener help changed help removed  
org.argouml.uml.reveng.Import	  import import                                 dispose dialog do file get chooser   descend selected get import level add configure checkboxes get configure panel add source encoding update filters   changed only selected   diagram layout selected   create diagrams selected   minimize figures selected get input source encoding add detail level buttons get configure panel extension configure panel descend changed only create diagrams minimise figures layout diagrams class only class and features full import source encoding dialog iss my frame  
org.argouml.model.mdr.UndoCoreHelperDecorator	  undo core helper decorator undo core helper decorator set attributes add comment add parameter add parameter     set owner set container set resident set namespace set abstract set leaf set navigable set ordering set child set query set kind set body set body set specification set specification set specification set visibility set multiplicity set multiplicity set multiplicity set association set aggregation set target scope set changeability set concurrency add client add feature add feature add literal add link add qualifier add supplier set features set static set power type set residents set sources remove annotated element remove client dependency remove supplier dependency remove template argument remove template parameter add deployment location remove element residence add supplier dependency set model element container remove deployment location set enumeration literals add stereotype set tagged value create command create command create command set default element remove feature remove literal set operations remove connection remove constraint remove owned element remove qualifier remove source flow remove target flow add annotated element add client dependency add connection add connection add constraint add element residence add manifestation add owned element add raised signal add raised exception add source flow add target flow add template parameter add template parameter set aggregation  set aggregation  set annotated elements set raised signals set connections set discriminator set qualifiers set specifications add all stereotypes remove stereotype clear stereotypes set read only set parent set initial value set type set parameters set active add method remove parameter set feature set root set default value  
org.argouml.ui.explorer.rules.GoClassToNavigableClass	  go class    navigable class go class    navigable class get dependencies get rule name get children  
org.argouml.uml.diagram.PathContainer	  path container path container   path visible set path visible  
org.argouml.configuration.ConfigurationKey	  configuration key configuration key   changed property get key  
org.argouml.model.mdr.DataTypesHelperMDRImpl	  data types helper mdr implement data types helper mdr implement get body set language set body equals deep history kind equals shallow history kind equals initial kind equals fork kind equals join kind equals choice kind equals junction kind multiplicity    string multiplicity range    string get value specifications create value specification modify value specification get value specification values get language model implement  
org.argouml.cognitive.ui.GoListToPriorityToItem	  go list    priority    item go list    priority    item get child   leaf get child count add tree model listener get index of child remove tree model listener value for path changed  
org.argouml.cognitive.checklist.CheckItem	  check item check item get more information url set more information url set category get category set predicate get predicate  hash code equals    string expand get description get description set description category description more information url predicate  
org.argouml.cognitive.ToDoListListener	     do list listener    do list listener    do items changed    do items added    do items removed    do list changed  
org.argouml.model.AbstractCoreHelperDecorator	  abstract core helper decorator abstract core helper decorator set attributes add comment add parameter add parameter get body set owner   sub type set container set resident set namespace set abstract set leaf set navigable set ordering set child set query set kind set body set body get association end get generalization set specification set visibility set multiplicity set multiplicity set multiplicity set association set aggregation set target scope set changeability set concurrency get associations get associations get parents get subtypes get flows get all nodes add client add feature add feature add literal add link add qualifier add supplier set features set static set power type set residents set sources get all behavioral features get behavioral features get realized interfaces get extended classifiers get extending classifiers get associated classifiers get all visible elements get first shared namespace get all possible namespaces get all realized interfaces equals aggregation kind remove annotated element remove client dependency remove supplier dependency remove template argument remove template parameter add deployment location remove element residence add supplier dependency set model element container remove deployment location set enumeration literals get all meta datatype names add stereotype get supertypes set tagged value get all supertypes get utilized elements set default element get specification get associate ends inh remove feature remove literal set operations get attributes inh get operations inh get return parameters get all interfaces get all classes get extending elements get all components get all data types get all classifiers get all attributes get dependencies get package imports get package import get relationships   valid namespace has composite end remove connection remove constraint remove owned element remove qualifier remove source flow remove target flow add annotated element add client dependency add connection add connection add constraint add element residence add manifestation add owned element add raised signal add source flow add target flow add template argument add template argument add template parameter add template parameter set annotated elements set raised signals set connections set discriminator set qualifiers set specifications add all stereotypes remove stereotype clear stereotypes get all metatype names set read only set name set parent set initial value get component set type get source set parameters set active get destination add method remove parameter set parameter set feature get children set root set default value implement  
org.argouml.profile.URLModelLoader	  url model loader url model loader make zip entry url load model load model  
org.argouml.uml.diagram.ui.ActionMultiplicity	  action multiplicity action multiplicity get destination multiple zero    many get destination multiple one get destination multiple zero    one get destination multiple one    many get src multiple one get src multiple zero    one get src multiple zero    many get src multiple one    many   enabled action performed str multiple src multiple one destination multiple one src multiple zero    one destination multiple zero    one src multiple zero    many destination multiple zero    many src multiple one    many destination multiple one    many  
org.argouml.uml.cognitive.critics.CrUnnavigableAssoc	  critic unnavigable association critic unnavigable association get wizard class get criticized design materials predicate   
org.argouml.uml.cognitive.critics.CrUnconventionalClassName	  critic unconventional class name critic unconventional class name get clarifier compute suggestion get wizard class get criticized design materials init wizard predicate      uid  
org.argouml.ui.TreeModelSupport	  tree model support tree model support add tree model listener remove tree model listener fire tree nodes changed fire tree nodes inserted fire tree nodes removed fire tree structure changed fire tree structure changed fire tree structure changed listener list  
org.argouml.ui.explorer.rules.GoSummaryToAttribute	  go summary    attribute go summary    attribute get dependencies get rule name get children  
org.argouml.ui.cmd.ActionSystemInfo	  action system information action system information action performed  
org.argouml.ui.explorer.TreeModelUMLEventListener	  tree model uml event listener tree model uml event listener model element added structure changed model element changed model element removed  
org.argouml.core.propertypanels.ui.UMLRecurrenceExpressionModel	  uml recurrence expression model uml recurrence expression model get expression set expression new expression    
org.argouml.notation.providers.AttributeNotation	  attribute notation attribute notation initialise listener update listener  
org.argouml.uml.diagram.ui.SettingsTabDiagramAppearance	  settings tab diagram appearance settings tab diagram appearance     set project                 get tab key get tab panel handle reset    default handle settings tab save handle settings tab cancel handle settings tab refresh create check box get j button diagram font get boolean initialize set visible create label create button p j button diagram font show bold names hide bidirectional arrows default shadow width selected diagram font name selected diagram font size scope j label diagram font  assertions disabled  
org.argouml.util.ItemUID	  item uid item uid get id of object generate id read object id create object id    string   myclass id  
org.argouml.uml.diagram.ui.PropPanelString	  property panel string property panel string target set target added target removed should be enabled set target name get target set target refresh property change insert update remove update changed update target name label name field  
org.argouml.kernel.ProjectFactory	  project factory project factory create project create project get instance instance  
org.argouml.util.PredicateStringMatch	  predicate string match predicate string match create evaluate maximum pats patterns pattern count  
org.argouml.model.euml.UMLUtil	  uml util uml util check arguments get owned operations get owned attributes    string get resource copy default uri  
org.argouml.ui.explorer.rules.GoCriticsToCritic	  go critics    critic go critics    critic get dependencies get rule name get children  
org.argouml.uml.diagram.static_structure.ui.StylePanelFigPackage	  style panel figure package style panel figure package refresh item state changed stereotype check box visibility check box refresh transaction     uid  
org.argouml.ui.SettingsDialog	  settings dialog settings dialog     handle refresh handle save handle open set visible window activated window closed window closing window deactivated window deiconified window iconified window opened handle cancel action performed apply button tabs window open     uid settings tabs  
org.argouml.core.propertypanels.ui.UMLMultiplicityPanel	  uml multiplicity panel uml multiplicity panel             get target get preferred size item state changed     uid multiplicity combo box check box multiplicity list  
org.argouml.uml.cognitive.critics.CrInvalidForkTriggerOrGuard	  critic invalid fork trigger or guard critic invalid fork trigger or guard get criticized design materials predicate      uid  
org.argouml.uml.cognitive.critics.WizAddOperation	  wizard add operation wizard add operation set instructions do action make panel step  label instructions  
org.argouml.notation.providers.ObjectFlowStateStateNotation	  object flow state state notation object flow state state notation initialise listener  
org.argouml.gefext.ArgoFigInk	  argo figure ink argo figure ink delete from model remove notification listener remove notification listener add notification listener get notification information notifier  
org.argouml.uml.cognitive.critics.CrInterfaceWithoutComponent	  critic interface without component critic interface without component compute offenders still valid    do item predicate   
org.argouml.ui.SettingsTabLayout	  settings tab layout settings tab layout create property make key get tab key get tab panel handle reset    default handle settings tab save handle settings tab cancel handle settings tab refresh load position save position     uid  
org.argouml.uml.diagram.ui.RadioAction	  radio action radio action action performed get action real action  
org.argouml.uml.ui.UMLComboBoxNavigator	  uml combo box navigator uml combo box navigator set button enabled get preferred size set enabled action performed item state changed icon the combo box the button  
org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel	  class diagram graph model class diagram graph model add edge can add edge get ports get in edges get out edges can add node add node can change connected node add node related edges change connected node reroute link reroute association reroute dependency reroute generalization get owner vetoable change       uid  
org.argouml.persistence.ProfileConfigurationFilePersister	  profile configuration file persister profile configuration file persister   some profile directory configured load unresolved get profiles directory save project member print model xmi get main tag add user defined profile load load load save    
org.argouml.ui.explorer.rules.GoModelElementToContents	  go model element    contents go model element    contents get dependencies get rule name get children  
org.argouml.persistence.TodoTokenTable	  todo token table todo token table setup tokens string    do string    do list string    do item string headline string description string priority string moreinfourl string resolvedcritics string issue string poster string offender string prio high string prio med string prio low token    do token    do list token    do item token headline token description token priority token moreinfourl token resolvedcritics token issue token poster token offender token undefined  
org.argouml.cognitive.ui.ToDoItemAction	     do item action    do item action get remembered target update enabled   enabled remembered target  
org.argouml.uml.ui.foundation.core.UMLFeatureOwnerScopeCheckBox	  uml feature owner scope check box uml feature owner scope check box build model  
org.argouml.ui.SettingsTabUser	  settings tab user settings tab user build panel get tab key get tab panel handle reset    default handle settings tab save handle settings tab cancel handle settings tab refresh top panel user fullname user email     uid  
org.argouml.notation.providers.ClassifierRoleNotation	  classifier role notation classifier role notation initialise listener  
org.argouml.profile.init.ProfileLoader	  profile loader profile loader do load load profiles from jar file load java critics for profile load manifest dependencies for profile hunt for profiles in directory   jar prefix file prefix  
org.argouml.model.DataTypesFactory	  data types factory data types factory create procedure expression create multiplicity create multiplicity create multiplicity create expression create time expression create type expression create action expression create argument lists expression create boolean expression create iteration expression create mapping expression create object set expression create multiplicity range create multiplicity range  
org.argouml.cognitive.ui.WizStepTextField	  wizard step text field wizard step text field get text instructions label field     uid  
org.argouml.ui.PerspectiveSupport	  perspective support perspective support register rule add sub tree model get go rule list remove sub tree model get sub tree model list    string get name set name go rules name rules  
org.argouml.ui.FindDialog	  find dialog find dialog init name loc tab do go    selection do reset fields name buttons my double click init help tab init types do search do clear tabs get instance reset mouse clicked mouse entered mouse exited mouse pressed mouse released action performed instance next result number number finds inset px search clear tabs name loc tab element name diagram name location type type details results help result tabs     uid  
org.argouml.application.events.ArgoProfileEvent	  argo profile event argo profile event get event start range  
org.argouml.uml.cognitive.critics.CrTooManyTransitions	  critic too many transitions critic too many transitions get criticized design materials predicate  transitions threshold     uid  
org.argouml.uml.ui.ActionReopenProject	  action reopen project action reopen project get filename action performed filename  
org.argouml.profile.internal.ocl.uml14.Bag	  bag bag count  
org.argouml.uml.diagram.ui.ActionSaveDiagramToClipboard	  action save diagram    clipboard action save diagram    clipboard   enabled get image action performed lost ownership     uid  
org.argouml.ui.targetmanager.TargetManager	  target manager target manager     get targets get single model target     navigate forward navigate backward navigate back possible internal on set target end target transaction determine figure target determine model target get owner and all figures remove history element fire target added fire target removed fire target set     get model target clean history add target listener get model targets remove target listener get single target get figure target navigate forward possible set targets remove target add target   in target transaction start target transaction get instance get target set target get owner   instance targets model target figure target listener list history manager uml listener in transaction  
org.argouml.uml.ui.UMLStereotypeList	  uml stereotype list uml stereotype list get targettable model get target  
org.argouml.ui.explorer.rules.GoStateToEntry	  go state    entry go state    entry get dependencies get rule name get children  
org.argouml.application.helpers.ResourceLoader	  resource loader resource loader lookup icon resource lookup icon resource lookup icon resource lookup icon resource remove resource location remove resource extension   in cache add resource extension add resource location lookup icon url    java   contains location contains extension resource cache resource locations resource extensions  
org.argouml.uml.ProjectMemberModel	  project member model project member model repair get zip file extension get type get model set model member type file ext model  
org.argouml.uml.cognitive.critics.UMLWizard	  uml wizard uml wizard get model element set suggestion offer suggestion get suggestion get number steps suggestion  
org.argouml.uml.diagram.DiagramFactoryInterface	  diagram factory interface diagram factory interface create diagram  
org.argouml.notation.providers.uml.ObjectNotationUml	  object notation uml object notation uml get parsing help    string    string parse  
org.argouml.model.AbstractCommonBehaviorHelperDecorator	  abstract common behavior helper decorator abstract common behavior helper decorator set operation set signal add stimulus set contexts set receiver set reception set script set sender add action add action remove action set specification remove classifier remove context remove reception add actual argument add actual argument add classifier set dispatch action set communication link set asynchronous set classifiers set component instance set node instance set recurrence set transition get instantiation set instantiation get action owner remove actual argument set actual arguments set target set value get component get source set instance get destination implement  
org.argouml.notation.providers.CallStateNotation	  call state notation call state notation initialise listener  
org.argouml.uml.cognitive.critics.CrUselessInterface	  critic useless interface critic useless interface get criticized design materials predicate      uid  
org.argouml.uml.ui.behavior.common_behavior.ActionNewReception	  action new reception action new reception action performed  
org.argouml.uml.cognitive.critics.CrUnconventionalAttrName	  critic unconventional attribute name critic unconventional attribute name get clarifier compute offenders compute suggestion still valid    do item get wizard class get criticized design materials init wizard predicate      uid  
org.argouml.notation.providers.uml.AssociationEndNameNotationUml	  association end name notation uml association end name notation uml get parsing help deal with derived parse association end    string    string parse  
org.argouml.notation.providers.ObjectNotation	  object notation object notation initialise listener update listener  
org.argouml.ui.explorer.rules.GoCollaborationToDiagram	  go collaboration    diagram go collaboration    diagram get dependencies get rule name get children  
org.argouml.ui.explorer.rules.GoUseCaseToExtensionPoint	  go use case    extension point go use case    extension point get dependencies get rule name get children  
org.argouml.ui.explorer.rules.GoModelToDiagrams	  go model    diagrams go model    diagrams get dependencies get rule name   in path get children  
org.argouml.ui.explorer.rules.GoModelElementToContainedDiagrams	  go model element    contained diagrams go model element    contained diagrams get dependencies get rule name get children  
org.argouml.cognitive.ui.ActionResolve	  action resolve action resolve action performed  
org.argouml.model.euml.CollaborationsHelperEUMLImpl	  collaborations helper e uml implement collaborations helper e uml implement set context set sender get classifier roles set activator add base set bases remove base add instance add message add successor get all possible association roles get association role has as activator all available features all available contents get all possible bases remove message remove successor remove predecessor add predecessor set successors set message sort set predecessors remove interaction set represented classifier set represented operation get all classifier roles get all possible activators get all possible predecessors   adding collaboration allowed remove constraining element add constraining element set action set base model implement  
org.argouml.cognitive.ui.AddToDoItemDialog	  add    do item dialog add    do item dialog do add action performed priorities text rows text columns inset px head line text field priority combo box moreinfo text field offender list description text area  
org.argouml.ui.UndoableAction	  undoable action undoable action action performed  
org.argouml.uml.diagram.state.StateDiagramGraphModel	  state diagram graph model state diagram graph model add edge can add edge get ports get in edges get out edges can add node add node can connect   remove from diagram allowed can change connected node add node related edges change connected node set machine get machine get owner connect vetoable change   machine     uid  
org.argouml.ui.SaveSwingWorker	  save swing worker save swing worker construct init progress monitor window finished overwrite file result project exit after save  
org.argouml.uml.ui.TabStyle	  tab style tab style delayed vetoable change target set target added target removed should be enabled fire target added fire target removed fire target set add target listener add panel remove target listener find panel for panel class for get style panel names load class get target set target refresh property change   target should be enabled blank panel panels last panel style panel style panel names listener list  
org.argouml.ui.explorer.rules.GoProjectToDiagram	  go project    diagram go project    diagram get dependencies get rule name get children  
org.argouml.uml.diagram.ui.ActionModifierAbstract	  action modifier abstract action modifier abstract value of target toggle value of target     uid  
org.argouml.uml.ui.UMLExpressionExpressionModel	  uml expression expression model uml expression expression model get expression set expression new expression  
org.argouml.ui.SettingsTabAppearance	  settings tab appearance settings tab appearance         build panel get tab key get tab panel handle reset    default handle settings tab save handle settings tab cancel handle settings tab refresh set metal theme state look and feel metal theme language metal label smooth edges locale top panel     uid  
org.argouml.uml.diagram.static_structure.layout.ClassdiagramInheritanceEdge	  class diagram inheritance edge class diagram inheritance edge get center low get down gap get vertical offset get center high get offset set offset layout   epsilon high low offset  
org.argouml.uml.ui.foundation.core.UMLOperationSpecificationDocument	  uml operation specification document uml operation specification document get property set property     uid  
org.argouml.profile.CoreProfileReference	  core profile reference core profile reference set profile directory profiles resource path profiles base url  assertions disabled  
org.argouml.ui.explorer.rules.GoNamespaceToDiagram	  go namespace    diagram go namespace    diagram get dependencies get rule name get children  
org.argouml.uml.diagram.activity.ui.SelectionActionState	  selection action state selection action state get instructions get new node get icons get new edge type get new node type   reverse edge set outgoing right button enabled set outgoing below button enabled set outgoing button enabled set incoming button enabled set incoming left button enabled set incoming above button enabled transitions transitions down icons instructions show incoming left show incoming above show outgoing right show outgoing below  
org.argouml.uml.diagram.ui.ActionSetAddAssociationClassMode	  action set add association class mode action set add association class mode     uid  
org.argouml.uml.ui.foundation.core.ActionSetAssociationEndTargetScope	  action set association end target scope action set association end target scope get instance action performed singleton  
org.argouml.ui.explorer.rules.GoSubmachineStateToStateMachine	  go sub machine state    state machine go sub machine state    state machine get dependencies get rule name get children  
org.argouml.uml.cognitive.critics.CrNameConfusion	  critic name confusion critic name confusion get clarifier compute offenders still valid    do item get wizard class get criticized design materials init wizard predicate  confusable count diffs strip     uid  
org.argouml.profile.internal.ocl.uml14.OclEnumLiteral	  ocl enum literal ocl enum literal hash code equals name  
org.argouml.ui.SplashScreen	  splash screen splash screen   paint called notify message get status bar progress notify null action set maximum progress update main task update sub task set paint called   canceled close paint update progress show status status bar paint called  
org.argouml.ui.cmd.ActionShowXMLDump	  action show xml dump action show xml dump init action performed     uid inset px  
org.argouml.uml.diagram.ui.FeaturesCompartmentContainer	  features compartment container features compartment container  
org.argouml.persistence.XMLTokenTableBase	  xml token table base xml token table base setup tokens add token    token set dbg get dbg contains   tokens dbg open tags open tokens number open  
org.argouml.uml.diagram.ui.ActionStereotypeViewBigIcon	  action stereotype view big icon action stereotype view big icon  
org.argouml.uml.ui.behavior.state_machines.ButtonActionNewGuard	  button action new guard button action new guard get key name get icon name   enabled action performed  
org.argouml.model.AssociationChangeEvent	  association change event association change event get changed value changed value     uid  
org.argouml.ui.ProgressMonitorWindow	  progress monitor window progress monitor window         notify message progress notify null action set maximum progress update main task update sub task   canceled close update progress pbar  
org.argouml.uml.cognitive.critics.CrNoInstanceVariables	  critic no instance variables critic no instance variables get clarifier get wizard class get criticized design materials init wizard predicate  find changeable instance attribute in inherited maximum depth  
org.argouml.sequence2.diagram.ModePlaceClassifierRole	  mode place classifier role mode place classifier role post processing mouse dragged mouse pressed  
org.argouml.core.propertypanels.ui.UMLPartitionActivityGraphListModel	  uml partition activity graph list model uml partition activity graph list model   valid element build model list  
org.argouml.uml.ui.behavior.common_behavior.ActionNewCallAction	  action new call action action new call action create action get button instance get instance singleton  
org.argouml.core.propertypanels.ui.UMLInitialValueExpressionModel	  uml initial value expression model uml initial value expression model get expression set expression new expression  assertions disabled  
org.argouml.gefext.ArgoFigCircle	  argo figure circle argo figure circle delete from model remove notification listener remove notification listener add notification listener get notification information notifier  
org.argouml.ui.cmd.ActionGotoDiagram	  action goto diagram action goto diagram do command action performed  
org.argouml.uml.diagram.ui.StylePanelFigMessage	  style panel figure message style panel figure message set target arrow refresh item state changed arrow label arrow field  
org.argouml.sequence2.diagram.ModeCreateMessage	  mode create message mode create message   default activation height default message gap  
org.argouml.uml.ui.TabTaggedValuesModel	  tab tagged values model tab tagged values model delayed vetoable change get from collection set target property change get column count get value at vetoable change get row count get column class get column name   cell editable set value at add row remove row   target     uid  
org.argouml.persistence.ProjectFileView	  project file view project file view get instance get icon instance  
org.argouml.uml.diagram.ui.CompartmentFigText	  compartment figure text compartment figure text remove from diagram paint clarifiers make selection   filled   resizable margin  
org.argouml.uml.diagram.deployment.ui.AbstractFigComponent	  abstract figure component abstract figure component set line color get handle box set handle box init figures update listeners get use trap rectangle set standard bounds clone get minimum size model changed bx finger height finger width overlap default width default height cover upper rectangle lower rectangle  
org.argouml.ui.explorer.rules.GoOperationToCollaboration	  go operation    collaboration go operation    collaboration get dependencies get rule name get children  
org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode	  class diagram node class diagram node get up nodes set figure add downlink add rank add uplink get figure get down nodes   comment set column get type order numer calculate weight get subtree weight get edge offset get placement hint set edge offset set placement hint compare    get location get size   package set location get level get weight set weight get rank set rank get column   standalone no column no rank no weight column downlinks edge offset figure placement hint rank uplinks weight uplink factor  
org.argouml.uml.ui.ActionBooleanTaggedValue	  action boolean tagged value action boolean tagged value action performed tag name  
org.argouml.notation.providers.AssociationRoleNotation	  association role notation association role notation initialise listener  
org.argouml.uml.ui.behavior.common_behavior.ActionNewActionSequence	  action new action sequence action new action sequence create action get button instance get instance singleton  
org.argouml.cognitive.Agency	  agency agency add critic get critic list apply all critics apply all critics determine active critics notify static observers critic list for specific class the agency apply critics get critic registry critics for class add static observer register register register register   critic registry critics control mechanism singleton critics cached critics  
org.argouml.notation.providers.AssociationEndNameNotation	  association end name notation association end name notation initialise listener update listener  
org.argouml.ui.explorer.rules.GoNodeToResidentComponent	  go node    resident component go node    resident component get dependencies get rule name get children  
org.argouml.persistence.TodoListMemberFilePersister	  todo list member file persister todo list member file persister get main tag load load load save    do tee  
org.argouml.core.propertypanels.ui.UMLOFSStateListModel	  uml o f s state list model uml o f s state list model   valid element build model list     uid  
org.argouml.uml.ui.UMLComboBox2	  uml combo box  uml combo box  do it target set target added target removed get targettable model get target action performed selection for key key time threshold millis search string last key event time  
org.argouml.uml.cognitive.critics.CrDisambigClassName	  critic disambiguous class name critic disambiguous class name get clarifier get wizard class init wizard predicate   
org.argouml.uml.cognitive.ProjectMemberTodoList	  project member todo list project member todo list get    do list repair get zip file extension get resolved critics list get type    do ext  
org.argouml.uml.cognitive.critics.CrDupParamName	  critic duplicate param name critic duplicate param name get criticized design materials predicate   
org.argouml.ui.TabResults	  tab results tab results spawn my double click set predicate do double click set results select result set generator depth first run key pressed key released key typed mouse clicked mouse entered mouse exited mouse pressed mouse released action performed value changed set root   number jump    related inset px Predicate cg root main pane results diagram results related diagrams related shown results label results table results model related label related table related model     uid  
org.argouml.uml.diagram.activity.ui.FigPartition	  figure partition figure partition     remove from diagram implement set line color set line width get fill color set fill color set filled init figures make selection get partitions set standard bounds create big port figure place string       filled         append    pool get figure pool translate with contents set next partition set previous partition get drag dependencies clone get minimum size get line width get line color minimum width minimum height left line right line top line bottom line seperator previous partition next partition  
org.argouml.uml.diagram.ui.ActionAddAssociationRole	  action add association role action add association role     uid  
org.argouml.uml.cognitive.critics.CrOppEndConflict	  critic opp end conflict critic opp end conflict get criticized design materials predicate   
org.argouml.cognitive.ui.DesignIssuesDialog	  design issues dialog design issues dialog get value text init main panel state changed main panel sliders    decisions sliders    digits  
org.argouml.uml.ui.behavior.common_behavior.ActionRemoveArgument	  action remove argument action remove argument action performed  
org.argouml.uml.cognitive.critics.CrMissingStateName	  critic missing state name critic missing state name get clarifier get wizard class get criticized design materials init wizard predicate      uid  
org.argouml.ui.explorer.DnDExplorerTree	  drag and drop explorer tree drag and drop explorer tree         get auto scroll insets                       valid drag drag drop end drag gesture recognized drag enter drag exit drag over drop action changed auto scroll   diagram    clipboard action click offset source path ghost image selected tree path drag source auto scroll margin     uid  
org.argouml.uml.ui.behavior.common_behavior.ActionAddCreateActionInstantiation	  action add create action instantiation action add create action instantiation do it get choices get selected get dialog title choice class     uid  
org.argouml.profile.ProfileModelLoader	  profile model loader profile model loader load model  
org.argouml.core.propertypanels.ui.XMLPropPanelFactory	  xml property panel factory xml property panel factory create property panel get property panels data get instance build   meta data cache instance  
org.argouml.persistence.ProjectFilePersister	  project file persister project file persister do load save add progress listener remove progress listener  
org.argouml.ui.cmd.ActionWrapper	  action wrapper action wrapper get current shortcut set current shortcut get default shortcut get action name get action instance get key default shortcut current shortcut key action instance action instance name  
org.argouml.uml.ui.foundation.core.ActionAddOperation	  action add operation action add operation     get target follower should be enabled action performed target follower     uid  
org.argouml.ui.cmd.CmdSetPreferredSize	  cmd set preferred size cmd set preferred size do it set figure    resize set figure    resize undo it  
org.argouml.uml.ui.UMLRadioButtonPanel	  uml radio button panel uml radio button panel target set target added target removed get property set name build model set buttons set property set name get target set target property change    list set selected standard font panel target property set name button group  
org.argouml.ui.explorer.TypeThenNameOrder	  type then name order type then name order    string compare  
org.argouml.pattern.cognitive.critics.CrSingletonViolatedMissingStaticAttr	  critic singleton violated missing static attribute critic singleton violated missing static attribute predicate   
org.argouml.cognitive.critics.ui.CriticBrowserDialog	  critic browser dialog critic browser dialog enable fields and buttons set target use clarifiers update buttons enabled set target headline set target priority set target more information set target description set target update action performed insert update remove update changed update item state changed add listeners value changed table changed   number critic browser number columns high medium low priorities always if only one never use clar inset px critics label cls name label headline label priority label more information label description label clarifier label table class name headline priority more information description use clar wake button configure button network button go button advanced button target  
org.argouml.ui.explorer.rules.GoProfileToCritics	  go profile    critics go profile    critics get dependencies get rule name get children  
org.argouml.ui.ActionUndo	  action undo action undo action performed     uid  
org.argouml.model.mdr.ActivityGraphsHelperMDRImpl	  activity graphs helper mdr implement activity graphs helper mdr implement add parameter find classifier by name find state by name remove content   adding activity graph allowed add in state set in states add content set synch set parameters set contents remove parameter  
org.argouml.uml.cognitive.critics.ClOperationCompartment	  cl operation compartment cl operation compartment set figure set    do item get the instance hit get icon height get icon width paint icon the instance wave length wave height figure  
org.argouml.uml.cognitive.critics.CrConstructorNeeded	  critic constructor needed critic constructor needed get wizard class init wizard predicate   
org.argouml.uml.diagram.deployment.ui.FigObject	  figure object figure object get notation provider type set line color set line width get fill color set fill color set filled init figures make selection set enclosing figure set standard bounds create big port figure update bounds   filled clone get minimum size get line width get line color cover  
org.argouml.uml.ui.behavior.common_behavior.ActionNewCreateAction	  action new create action action new create action create action get button instance get instance singleton  
org.argouml.model.mdr.ExtensionMechanismsHelperMDRImpl	  extension mechanisms helper mdr implement extension mechanisms helper mdr implement get stereotype get stereotype get stereotype get stereotypes get stereotypes set data values   stereotype add base class apply profile set tag type get all possible stereotypes get common tagged value types make profile applicable get meta model name   applicable stereotype   valid stereotype add copy stereotype   stereotype inh add extended element remove base class set value of tag add tagged value remove tagged value set tagged value set tagged value unapply profile has stereotype set type set icon get names   model implement package map  
org.argouml.uml.ui.UMLTableCellRenderer	  uml table cell renderer uml table cell renderer set value  
org.argouml.util.ChildGenerator	  child generator child generator child iterator  
org.argouml.model.euml.PseudostateKindEUMLImpl	  pseudostate kind e uml implement pseudostate kind e uml implement get entry point get shallow history get deep history get fork get initial get choice get join get junction get exit point get terminate  
org.argouml.uml.ui.UMLPlainTextDocument	  uml plain text document uml plain text document target set target added target removed set event name update text get event name   firing set firing set property internal get property remove set property get target set target property change insert string   firing editing panel target event name  
org.argouml.ui.ActionRedo	  action redo action redo action performed     uid  
org.argouml.sequence2.diagram.FigMessageComparator	  figure message comparator figure message comparator  
org.argouml.ui.TabText	  tab text tab text parse text target set target added do generate text set should be enabled target removed should be enabled should be enabled generator text get tool bar get target set target refresh set visible set editable insert update remove update changed update target text area parse changes enabled tool bar       uid  
org.argouml.core.propertypanels.ui.EnumerationListModel	  enumeration list model enumeration list model   valid element build model list  
org.argouml.ui.ActionCreateEdgeModelElement	  action create edge model element action create edge model element action performed   meta type source destination  
org.argouml.uml.diagram.activity.ui.FigObjectFlowState	  figure object flow state figure object flow state rendering changed get notation provider type init notation providers notation rendering changed set line color set line width get fill color set fill color set filled init figures text edited get notation settings text edit started update listeners make selection set enclosing figure set standard bounds   filled update state text clone get owner get minimum size get line width get line color model changed padding ofs width height state height notation provider state cover state  
